start_station_name,member_rides,casual_rides,total_rides,casual_share
Humboldt Blvd & Armitage Ave,2838.0,925.0,3763.0,0.24581450969970767
Leavitt St & Chicago Ave,3250.0,511.0,3761.0,0.13586812018080296
Sheridan Rd & Loyola Ave,2609.0,1135.0,3744.0,0.3031517094017094
Wentworth Ave & Cermak Rd (Temp),2470.0,1270.0,3740.0,0.339572192513369
Orleans St & Hubbard St (*),3464.0,247.0,3711.0,0.06655887900835354
Museum of Science and Industry,1028.0,2636.0,3664.0,0.7194323144104804
Damen Ave & Foster Ave,3125.0,509.0,3634.0,0.14006604292790314
Seeley Ave & Roscoe St,2914.0,713.0,3627.0,0.19658119658119658
Ashland Ave & Wellington Ave,3081.0,517.0,3598.0,0.14369093941078376
Sheridan Rd & Lawrence Ave,2732.0,852.0,3584.0,0.23772321428571427
LaSalle Dr & Huron St (*),3062.0,483.0,3545.0,0.13624823695345556
Spaulding Ave & Armitage Ave,2738.0,795.0,3533.0,0.22502122841777525
Ashland Ave & Lake St,3002.0,531.0,3533.0,0.15029719784885368
Financial Pl & Ida B Wells Dr (Temp),3296.0,222.0,3518.0,0.06310403638430927
Walsh Park,2421.0,1077.0,3498.0,0.3078902229845626
Damen Ave & Wellington Ave,2834.0,652.0,3486.0,0.18703384968445208
Clarendon Ave & Leland Ave,2569.0,884.0,3453.0,0.2560092673037938
Damen Ave & Clybourn Ave,2868.0,546.0,3414.0,0.15992970123022848
Elizabeth (May) St & Fulton St,3067.0,332.0,3399.0,0.09767578699617535
Paulina St & 18th St,2835.0,557.0,3392.0,0.16420990566037735
Lincoln Park Conservatory,1531.0,1859.0,3390.0,0.5483775811209439
Blackstone Ave & Hyde Park Blvd,2666.0,717.0,3383.0,0.2119420632574638
Throop (Loomis) St & Taylor St,3050.0,329.0,3379.0,0.09736608464042616
Canal St & Harrison St,3102.0,269.0,3371.0,0.07979827944230199
Emerald Ave & 31st St,3025.0,279.0,3304.0,0.08444309927360774
Claremont Ave & Hirsch St,2919.0,330.0,3249.0,0.10156971375807941
California Ave & North Ave,2652.0,560.0,3212.0,0.17434620174346202
Harper Ave & 59th St,2674.0,508.0,3182.0,0.1596480201131364
Indiana Ave & 31st St,2659.0,398.0,3057.0,0.13019299967288192
Fairbanks St & Superior St (*),2788.0,260.0,3048.0,0.08530183727034121
Glenwood Ave & Morse Ave,2475.0,569.0,3044.0,0.18692509855453351
Sheridan Rd & Noyes St (NU),2333.0,710.0,3043.0,0.23332237923102203
Wabash Ave & Cermak Rd,2142.0,893.0,3035.0,0.2942339373970346
Clark St & Lunt Ave,2662.0,367.0,3029.0,0.12116209970287224
Winchester Ave & Elston Ave,2453.0,563.0,3016.0,0.1866710875331565
Calumet Ave & 33rd St,2702.0,301.0,3003.0,0.10023310023310024
Milwaukee Ave & Rockwell St,2228.0,757.0,2985.0,0.2536013400335008
Ravenswood Ave & Berteau Ave,2593.0,325.0,2918.0,0.1113776559287183
California Ave & Francis Pl,2284.0,582.0,2866.0,0.2030704815073273
Chicago Ave & Washington St,2386.0,465.0,2851.0,0.16310066643283058
Orleans St & Elm St,2441.0,359.0,2800.0,0.12821428571428573
Ashland Ave & Belle Plaine Ave,2241.0,501.0,2742.0,0.18271334792122537
Southport Ave & Clark St,2285.0,406.0,2691.0,0.1508732813080639
Racine Ave (May St) & Fulton St,2544.0,137.0,2681.0,0.051100335695635955
Dearborn St & Van Buren St (*),2455.0,206.0,2661.0,0.07741450582487787
State St & 19th St,1897.0,753.0,2650.0,0.28415094339622643
Elston Ave & Wabansia Ave,2197.0,432.0,2629.0,0.16432103461392164
State St & 35th St,2271.0,356.0,2627.0,0.1355157974876285
Western Ave & Fillmore St (*),2417.0,210.0,2627.0,0.07993909402360107
Western Ave & Roscoe St,2299.0,290.0,2589.0,0.11201235998455002
Leavitt St & Division St (*),2311.0,265.0,2576.0,0.10287267080745342
Paulina St & Montrose Ave,2050.0,514.0,2564.0,0.20046801872074882
Clinton St & 18th St,2143.0,417.0,2560.0,0.162890625
Leavitt St & Lawrence Ave,2204.0,334.0,2538.0,0.13159968479117415
Stave St & Armitage Ave,2093.0,436.0,2529.0,0.17240015816528273
Campbell Ave & Fullerton Ave,2020.0,483.0,2503.0,0.19296843787455054
California Ave & Altgeld St,2067.0,432.0,2499.0,0.17286914765906364
Campbell Ave & Montrose Ave,2287.0,182.0,2469.0,0.07371405427298501
Clark St & Elmdale Ave,2071.0,378.0,2449.0,0.15434871376071865
Lake Park Ave & 35th St,1411.0,1035.0,2446.0,0.4231398201144726
University Library (NU),1893.0,552.0,2445.0,0.22576687116564417
Paulina St & Howard St,1966.0,458.0,2424.0,0.18894389438943895
Damen Ave & Sunnyside Ave,1978.0,406.0,2384.0,0.17030201342281878
Damen Ave & Melrose Ave,1820.0,551.0,2371.0,0.23239139603542808
Wolcott (Ravenswood) Ave & Montrose Ave,1974.0,381.0,2355.0,0.16178343949044585
Talman Ave & Addison St,1920.0,426.0,2346.0,0.1815856777493606
Lincoln Ave & Addison St,1948.0,337.0,2285.0,0.1474835886214442
Richmond St & Diversey Ave,1745.0,529.0,2274.0,0.2326297273526825
Drake Ave & Fullerton Ave,1770.0,473.0,2243.0,0.2108782880071333
Indiana Ave & 26th St,1787.0,440.0,2227.0,0.19757521329142344
Halsted St & 18th St,1899.0,307.0,2206.0,0.13916591115140525
Wells St & 19th St,1273.0,912.0,2185.0,0.41739130434782606
Ashland Ave & Lake St (Temp),1979.0,200.0,2179.0,0.09178522257916476
Damen Ave & Madison St,1344.0,782.0,2126.0,0.367826904985889
California Ave & Division St,1474.0,634.0,2108.0,0.30075901328273247
Emerald Ave & 28th St,1886.0,194.0,2080.0,0.09326923076923077
